"#","#"
": check write permissions.",": cheque as permissões de escrita."
"Now: On","Agora: Desligado"
"Now: Off","Agora: Ligado"
"Toggle FPC Debug","Alternar FPC Debug"
"Toggle Status","Alternar Status"
"Toggle Template Hints","Alternar Template Hints"
"Toggle Translate Inline","Alternar Translate Inline"
"Files with layout updates for handle ","Arquivos com atualizações de layout para o handle "
"Arquivos gerados: ","Arquivos gerados: "
"Update","Atualização"
"Update xml file","Atualização de arquivo xml"
"Layout updates","Atualização de Layout"
"Layout Updates For This Handle","Atualização de Layout para esse Handle"
"WARNING: This feature doesn't support usage of multiple frontends.","AVISO: Esta função não suporta o uso de múltiplos frontends."
"Action","Ação"
"Actions","Ações"
"Quick actions","Ações Rápidas"
"Download Config (TEXT)","Baixar Configurações em (TEXT)"
"Download Config (XML)","Baixar Configurações em (XML)"
"Debug Toolbar","Barra de Debug"
"block","bloco"
"Layout Blocks","Blocos do Layout"
"Rendered Blocks","Blocos Renderizados"
" used blocks"," blocos usados"
"Request Path","Caminho da Requisição"
"File path","Caminho do arquivo"
"Template path","Caminho do Template"
"configuration keys","chaves de configuração"
"Class","Classe"
"block class","classe do bloco"
"Model Class","Classe do Model"
"Grouped classes not found for this uri.","Classes agrupadas não foram encontradas para esta URI."
"COLLECTIONS","COLEÇÕES"
"Configurations not found for this query.","Configuração não encontrada para esta consulta."
"Config","Configurações"
"Query","Consulta"
"QUERIES","CONSULTAS"
" queries"," consultas"
"Controller and request","Controller e requisição"
"Controller Module/Name","Controller Module/Name"
"Customize Magneto Debug","Customizar o Magneto Debug"
"DEBUG","DEBUG"
"Disable SQL Profiler","Desativar o SQL Profiler"
"Esse módulo não existe.","Esse módulo não existe."
"etc.","etc."
"Executar","Executar"
"Executed SQL","Executar SQL"
"Show Toolbar","Exibir Barra"
"Show Blocks Panel","Exibir Painel de Blocos"
"Show Configuration Panel","Exibir Painel de Configuração"
"Show Controller Panel","Exibir Painel de Controller"
"Show Layout Panel","Exibir Painel de Layout"
"Show Logs Panel","Exibir Painel de Logs"
"Show Models Panel","Exibir Painel de Models"
"Show Versions Panel","Exibir Painel de Versões"
"Show Performance Panel","Exibir Painel Performance"
"EXPLAIN","EXPLAIN"
"Failed to write configuration. (Web Server's permissions for ","Falha ao escrever a configuração. (A permissão do Servidor Web para "
"Close","Fechar"
"Block Source:","Fonte do Bloco:"
"Template Source:","Fonte do Template:"
"Enable Debug Toolbar","Habilitar Barra de Debug"
"Enable SQL Profiler","Habilitar SQL Profiler"
"Handle","Handle"
"Handles for this request","Handles para essa requisição"
"helper","helper"
"Incluir Linguagens","Incluir Linguagens"
"Controller information","Informação do controller"
"Package information","Informaçẽos do pacote"
"Insira as linguagens separando por vírgula","Insira as linguagens separando por vírgula"
"Page Layout","Layout do Pacote"
"Layout handlers","Layout handlers"
"Clear Magento Cache","Limpar Cache do Magento"
